,theta,x,y
170,0.0,0.0,0.0
171,-2.32,2.27,0.0
172,-5.42,9.64,-0.3
173,-3.68,19.68,-1.25
174,-3.48,30.3,-1.93
175,-3.29,40.07,-2.53
176,-2.71,49.85,-3.09
177,-2.71,60.05,-3.57
178,-2.13,69.84,-4.04
179,-2.13,79.48,-4.4
180,-1.94,89.26,-4.76
181,-2.13,99.19,-5.1
182,-2.13,108.84,-5.45
183,-2.71,118.62,-5.82
184,-1.94,128.83,-6.3
185,-2.32,138.76,-6.64
186,-1.94,148.54,-7.03
187,-1.94,158.19,-7.36
188,-0.97,167.69,-7.68
189,-1.16,177.48,-7.85
190,-0.97,187.55,-8.05
191,-1.36,197.2,-8.21
192,-0.97,206.85,-8.44
193,-1.16,216.36,-8.6
194,-0.19,226.72,-8.81
195,-0.97,236.65,-8.85
196,-0.77,247.01,-9.02
197,-0.58,257.08,-9.16
198,-0.77,267.16,-9.26
199,0.0,277.38,-9.4
200,-0.77,287.31,-9.4
201,-1.16,297.24,-9.53
202,-0.19,307.6,-9.74
203,-0.77,317.68,-9.78
204,-0.77,328.18,-9.92
205,-0.77,338.68,-10.06
206,-0.19,349.04,-10.2
207,-0.77,359.11,-10.23
208,-0.97,368.62,-10.36
209,-0.39,378.7,-10.53
210,-0.77,388.63,-10.6
211,-0.97,398.42,-10.73
212,-0.77,408.5,-10.9
213,-0.97,418.57,-11.04
214,-0.58,428.5,-11.21
215,-0.97,438.72,-11.31
216,-0.97,448.65,-11.48
217,-0.77,458.44,-11.64
218,-0.77,467.81,-11.77
219,-0.19,477.6,-11.9
220,-0.77,487.39,-11.94
221,-0.58,496.9,-12.06
222,-0.19,506.84,-12.16
223,-0.19,516.49,-12.2
224,0.39,526.56,-12.23
225,-0.58,536.64,-12.16
226,0.39,546.71,-12.27
227,0.0,556.65,-12.2
228,-0.39,566.01,-12.2
229,-0.19,575.24,-12.26
230,-1.16,584.75,-12.29
231,-0.77,594.96,-12.5
232,-0.97,604.75,-12.63
233,-0.77,614.54,-12.8
234,-0.97,624.34,-12.93
235,-0.58,634.84,-13.11
236,-0.97,645.34,-13.21
237,-0.97,655.55,-13.39
238,-1.55,665.34,-13.55
239,-0.77,675.28,-13.82
240,-0.19,685.63,-13.96
241,-0.77,695.99,-14.0
242,-0.97,706.07,-14.13
243,-0.39,715.86,-14.3
244,-1.36,726.22,-14.37
245,-0.19,736.72,-14.62
246,-0.58,747.22,-14.65
247,-0.39,756.44,-14.74
248,-1.16,766.09,-14.81
249,0.19,776.74,-15.03
250,0.58,787.24,-14.99
251,-1.55,797.31,-14.89
252,-0.19,807.39,-15.16
253,-0.77,817.46,-15.19
254,-0.77,827.4,-15.33
