,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,255,-1.91,2.2393246342451825,0.0550016587266303
1,1,256,-7.08,7.1517729465398725,0.0156115707215079
2,2,257,-3.64,13.29858601285916,-0.5936413551856772
3,3,258,-6.12,19.60675381456566,-0.8488255739636923
4,4,259,-2.68,26.592822532488263,-1.417458907899773
5,5,260,-4.02,33.74901525517581,-1.5817930667158246
6,6,261,-3.25,41.03934301555773,-1.9128839095440275
7,7,262,-3.06,48.46741867750615,-2.150564283933036
8,8,263,-1.15,54.07309655669856,-2.312969686345726
9,9,264,-1.91,60.81450203305314,-2.2874314135675275
10,10,265,-1.72,67.68807820214758,-2.34867394500701
11,11,266,-2.49,74.42095995224373,-2.383363125193981
12,12,267,-2.68,81.85657716797328,-2.520828106720587
13,13,268,-2.11,89.28293402808649,-2.688529586289433
14,14,269,0.38,94.47603454901976,-2.751035421876654
15,15,270,-2.11,101.06281993149274,-2.539237581376317
16,16,271,-1.34,108.63741276438536,-2.633277019335272
17,17,272,-1.53,115.79942823901888,-2.6274168904687576
18,18,273,-1.53,122.81198002527636,-2.645233878340591
19,19,274,-1.53,129.2642095667339,-2.6568073109454646
20,20,275,0.38,134.87620128411092,-2.6690123956242062
21,21,276,-1.72,141.4632322097032,-2.4672115400981784
22,22,277,-1.53,148.8963939942396,-2.504706671881695
23,23,278,-1.91,155.9189427654714,-2.522278116634212
24,24,279,-2.3,162.6523156018062,-2.5769612667698016
25,25,280,-2.68,169.6570802911632,-2.684996662529728
26,26,281,-0.77,175.55217964837198,-2.8202873445336563
27,27,282,-1.15,182.5622760034363,-2.738134482662401
28,28,283,-2.11,189.7238003918312,-2.7122803838472693
29,29,284,-1.91,196.8780287695642,-2.7966386628688493
30,30,285,-2.11,204.0317660610586,-2.8610029719418124
31,31,286,0.0,209.7851888267918,-2.929752362795993
32,32,287,-1.53,215.95332855594037,-2.778252258178445
33,33,288,-2.11,223.10583813183817,-2.7926316423798623
34,34,289,-2.11,229.27962535273096,-2.8710621921714177
35,35,290,-1.72,236.0134892753044,-2.945739312255625
36,36,291,-1.15,243.1667354805602,-2.99010965137997
37,37,292,-0.19,250.31801734086145,-2.954504110709843
38,38,293,-1.91,256.63660293086326,-2.819314829251181
39,39,294,-2.11,262.9498568551578,-2.8743138054237045
40,40,295,-0.19,269.11364709107625,-2.952989898334576
41,41,296,0.0,275.43223268107806,-2.817800616875915
42,42,297,-2.11,281.46041462058633,-2.66973811592878
43,43,298,-1.53,288.61464299831925,-2.754096394950362
44,44,299,-1.15,295.9073559069768,-2.7750351604556736
45,45,300,-0.77,303.208838085012,-2.7457434579701268
46,46,301,-0.57,310.6390533521166,-2.6632747700619364
47,47,302,0.96,316.52850521758114,-2.5686347976567623
48,48,303,-1.34,323.2637721159528,-2.293171900520843
49,49,304,-1.53,330.135629483212,-2.284435537140164
50,50,305,-1.34,337.0082234798292,-2.3056901286824107
51,51,306,0.57,342.89963969024825,-2.291026036071706
52,52,307,-0.38,350.0457651450438,-2.0454838109410964
53,53,308,0.0,356.78496073332457,-1.9299726733941167
54,54,309,-0.38,363.51293162103445,-1.76472215409491
55,55,310,-1.53,370.53179724547647,-1.6323388242327963
56,56,311,-1.34,377.6845523644936,-1.656715193408525
57,57,312,-1.34,384.97652864379313,-1.6476630039909104
58,58,313,-1.72,392.2685049230926,-1.6386108145732958
59,59,314,1.34,399.8516214822437,-1.6724227995670835
60,60,315,-2.11,407.41516487476713,-1.3165979136821413
61,61,316,-1.15,414.56939325250016,-1.4009561927037222
62,62,317,-1.34,421.4407595335208,-1.372225859374426
63,63,318,-0.57,427.6123368663397,-1.360683544397201
64,64,319,-0.96,434.07210796157847,-1.272041584139668
65,65,320,-0.38,440.1027453322798,-1.223948932935622
66,66,321,-0.77,447.3917750941476,-1.0949329238263026
67,67,322,0.57,453.9917495221459,-1.0128503448726676
68,68,323,-1.53,460.2983737822189,-0.7979307267388513
69,69,324,-0.77,467.0307644460764,-0.812625936977204
70,70,325,-1.72,473.3410718529392,-0.747661093458019
71,71,326,-0.57,479.2334702358354,-0.7729849407445517
72,72,327,-0.77,485.83319912071454,-0.6809053768166056
73,73,328,0.96,491.8633454051772,-0.6128187556639428
74,74,329,-2.87,498.308699739294,-0.3444766089881685
75,75,330,-0.96,504.7546154425669,-0.5062503593269891
76,76,331,-0.38,511.6354876223232,-0.4572805129297563
77,77,332,1.72,516.8246594533474,-0.3598345889280381
78,78,333,-3.44,523.1280916528693,-0.0149541661282039
79,79,334,-0.38,528.4543450390197,-0.204228745830342
80,80,335,-2.3,534.6237124837648,-0.1027135660843363
81,81,336,-1.72,541.2181097029365,-0.2008222597875768
82,82,337,-1.15,548.0911947857924,-0.2420708212784408
83,83,338,0.77,553.4220432082923,-0.2111661884264659
84,84,339,-2.11,559.1685907666846,0.0
