,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,85,0.0,0.0,0.0
1,1,86,0.0,0.0,0.0
2,2,87,0.0,0.0,0.0
3,3,88,0.0,0.0,0.0
4,4,89,0.97,2.978239203136254,0.10242679777446621
5,5,90,-0.39,12.187291943160533,0.5792366460907012
6,6,91,-1.36,16.305888695125162,0.6908645758681219
7,7,92,-0.77,20.416897354409542,0.7321901525592062
8,8,93,-1.36,30.49575336759809,0.938736673742946
9,9,94,-2.9,41.568148987108046,1.0593817940610386
10,10,95,-3.29,45.53268341797196,0.9956107465978291
11,11,96,-4.45,48.93720502275062,0.9225858015767879
12,12,97,-5.61,58.29677741190096,0.5140460945043216
13,13,98,-6.0,68.77600535635786,-0.15616408753835245
14,14,99,-6.2,72.88836248921075,-0.4449872373616003
15,15,100,-5.03,76.55994846323372,-0.718951533133397
16,16,101,-4.65,86.76452394576607,-1.2585247175116512
17,17,102,-4.84,95.41382842545926,-1.6714799421536302
18,18,103,-4.45,96.26573218334856,-1.7122228838016975
19,19,104,-3.87,105.19418379086814,-2.0955659314505297
20,20,105,-3.87,116.26343321804478,-2.465318712304334
21,21,106,-3.87,120.23037364751414,-2.5990483987673896
22,22,107,-3.87,124.48748643835503,-2.732804468007882
23,23,108,-3.87,134.98569780590134,-3.082172586648933
24,24,109,-2.9,143.0698337482119,-3.3544703395633615
25,25,110,-2.71,144.35113971729942,-3.370439484206602
26,26,111,-2.71,153.71108220331368,-3.4988009211931983
27,27,112,-2.9,157.54500601929064,-3.547052069209413
28,28,113,-2.71,163.08136249470016,-3.636812735378994
29,29,114,-2.32,173.72226723571544,-3.771149225723138
30,30,115,-1.94,181.66857456732276,-3.8180511621910385
31,31,116,-1.74,182.94953682232375,-3.8240262155485856
32,32,117,-0.97,192.0234578987818,-3.7821180038144866
33,33,118,-0.39,195.863594951093,-3.720090433601594
34,34,119,-0.0,199.83228033377227,-3.6136182151215475
35,35,120,-0.0,209.4765784244652,-3.2819341216572515
36,36,121,-0.77,219.6905397184425,-2.9306583252629417
37,37,122,-0.77,227.3494507841476,-2.7673142478673745
38,38,123,-0.0,228.76929917488889,-2.7384950301569666
39,39,124,-0.58,237.42418222829824,-2.4408386312553283
40,40,125,-0.97,245.0824058658304,-2.257506371288379
41,41,126,-0.97,249.62212930814,-2.1714188150210845
42,42,127,-1.74,258.98209817693174,-2.009607890636117
43,43,128,-1.94,262.81395970838963,-1.9978944909381777
44,44,129,-2.13,266.3659866838483,-1.9958050856620027
45,45,130,-1.94,276.44275402974046,-2.0194663781356734
46,46,131,-2.32,287.2291018569168,-2.0187239704684483
47,47,132,-2.13,291.0619945306342,-2.0369928446275853
48,48,133,-2.9,295.0348044823514,-2.0504497215758413
49,49,134,-2.71,304.8262114640828,-2.2140019092717633
50,50,135,-2.32,315.6073771971843,-2.3535204936907195
51,51,136,-2.71,319.87070322435954,-2.3769978447021063
52,52,137,-2.71,323.55437195696453,-2.4204106127300036
53,53,138,-3.1,333.4846650744363,-2.5491685293579684
54,54,139,-2.9,344.4184918895151,-2.7634841327650874
55,55,140,-2.71,348.2431090423793,-2.8320671774391797
56,56,141,-2.71,351.3660775207261,-2.86474566045352
57,57,142,-2.9,360.8759313760258,-2.987951386142743
58,58,143,-3.1,371.7987329575594,-3.172628429779278
59,59,144,-3.29,375.91386618588166,-3.251231948516501
60,60,145,-2.9,380.16960412037656,-3.3450116526142244
61,61,146,-2.32,389.9610111021081,-3.508563840310145
62,62,147,-1.94,400.469586657804,-3.577409974778834
63,63,148,-0.77,404.4417091813481,-3.5708786691557064
64,64,149,-1.74,408.8411716315716,-3.479609018813602
65,65,150,-1.94,419.1957112489442,-3.4336817691513586
66,66,151,-1.55,427.4304723714906,-3.4306396319682344
67,67,152,-2.13,432.1121753763189,-3.399704626204211
68,68,153,-2.13,442.3292037142972,-3.428548012752691
69,69,154,-1.94,453.2568436758192,-3.4629699730173535
70,70,155,-1.94,457.2289661993633,-3.4564386673942313
71,71,156,-1.36,457.9392341088205,-3.4520231498247154
72,72,157,1.55,464.89097069184686,-3.383041411569892
73,73,158,1.36,468.7149267993155,-3.141463912301035
74,74,159,1.16,472.8293989822423,-2.909906887095311
75,75,160,0.77,483.3156331223161,-2.32913708799401
76,76,161,0.97,494.22436880908106,-1.813884027545605
77,77,162,0.97,498.19961114218114,-1.6071271821221418
78,78,163,0.39,502.3047766619951,-1.395902053574293
79,79,164,0.0,512.3764146793673,-0.9794796153910179
80,80,165,0.0,519.7520540482082,-0.7258186195602933
81,81,166,0.39,521.1712150107765,-0.6770112192784979
82,82,167,0.0,529.9639530576666,-0.3145782754518294
83,83,168,-1.16,537.3395924265074,-0.060917279621104777
84,84,169,-0.58,542.0202642890762,0.0
