,theta,x,y
340,2.22,1.736,0.0
341,5.2459999999999996,5.862,0.16
342,3.2920000000000003,12.255999999999998,0.748
343,4.096000000000001,18.892000000000003,1.134
344,2.984,25.576,1.6199999999999999
345,3.06,32.748000000000005,1.98
346,3.0620000000000003,40.254,2.382
347,3.6759999999999997,46.864,2.742
348,2.6420000000000003,53.55400000000001,3.184
349,2.9459999999999997,60.274,3.4859999999999998
350,3.408,67.444,3.845999999999999
351,2.872,74.66799999999999,4.28
352,3.1380000000000003,81.416,4.62
353,2.602,88.136,4.994000000000001
354,2.718,94.71600000000001,5.31
355,2.488,101.16,5.6
356,2.068,107.856,5.89
357,1.7600000000000002,115.02799999999999,6.148000000000001
358,1.456,121.64200000000001,6.362
359,2.564,127.95,6.529999999999999
360,2.2979999999999996,134.25,6.828
361,1.9140000000000001,140.97200000000004,7.098000000000001
362,2.104,147.672,7.314
363,2.066,154.478,7.574
364,2.526,160.98000000000002,7.8100000000000005
365,1.532,167.366,8.102
366,1.876,173.838,8.292
367,1.262,180.622,8.504
368,1.762,187.546,8.658
369,1.7979999999999996,194.07599999999996,8.866
370,1.0699999999999998,201.17000000000002,9.09
371,0.8800000000000001,208.096,9.22
372,1.224,214.91,9.330000000000002
373,0.958,221.664,9.478
374,0.958,228.73600000000002,9.597999999999999
375,0.9940000000000001,235.83,9.722
376,1.4919999999999998,243.096,9.848
377,1.34,249.93599999999998,10.034
378,1.5699999999999998,256.71999999999997,10.203999999999999
379,1.418,263.446,10.382000000000001
380,1.9899999999999998,269.97999999999996,10.563999999999998
381,2.1060000000000003,276.456,10.796
382,1.112,283.294,11.038
383,1.9520000000000004,289.744,11.152
384,2.4899999999999998,296.246,11.35
385,2.028,302.576,11.602
386,2.4479999999999995,309.108,11.828
387,2.448,315.83000000000004,12.126
388,3.062,322.22200000000004,12.39
389,1.9899999999999998,329.276,12.758
390,2.412,336.31,13.0
391,2.334,343.65400000000005,13.306000000000001
392,1.6440000000000001,350.492,13.588
393,2.2960000000000003,357.416,13.804000000000002
394,1.952,364.396,14.09
395,2.564,371.404,14.330000000000002
396,2.334,378.408,14.644
397,2.258,385.246,14.919999999999998
398,1.9899999999999998,392.446,15.197999999999999
399,2.604,399.45000000000005,15.453999999999999
400,2.1420000000000003,406.398,15.754
401,2.258,413.544,16.02
402,2.336,420.55,16.292
403,2.4880000000000004,427.724,16.588
404,2.45,434.98400000000004,16.901999999999997
405,2.1420000000000003,442.37999999999994,17.23
406,2.336,449.35600000000005,17.497999999999998
407,2.0300000000000002,456.196,17.778
408,2.258,462.91799999999995,18.018
409,1.8,469.812,18.288
410,2.6,476.512,18.498
411,1.952,483.32000000000005,18.794
412,1.916,490.63599999999997,19.036
413,2.414,497.61199999999997,19.268
414,2.642,504.396,19.538
415,2.374,510.8059999999999,19.832
416,2.6420000000000003,516.8299999999999,20.082
417,2.028,523.1039999999999,20.362000000000002
418,3.1,529.102,20.574
419,1.5719999999999998,535.708,20.924
420,2.754,542.352,21.088
421,1.188,549.044,21.422
422,3.2540000000000004,555.212,21.556
423,1.186,561.482,21.926
424,3.026,567.592,22.068
