,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,255,0.0,0.0,0.0
1,1,256,0.0,0.0,0.0
2,2,257,1.53,1.3970772025046108,-0.09041731162720029
3,3,258,5.17,4.066023875719765,-0.19300218153384474
4,4,259,6.32,11.644178626302844,-0.0020294708782924525
5,5,260,4.6,23.01194217842957,0.5248973010161174
6,6,261,1.92,34.51741320659022,0.7022004881162993
7,7,262,0.57,44.19787096370832,0.39636129400928205
8,8,263,-0.96,52.61608408882284,-0.05826798369920613
9,9,264,-1.15,59.19520096900244,-0.5942913758527989
10,10,265,0.77,64.78573884661358,-1.0763559348021896
11,11,266,4.98,67.87251700469973,-1.2260242439470597
12,12,267,9.39,71.10387803278577,-1.1545686201886989
13,13,268,12.45,75.01711133647099,-0.7664898769819731
14,14,269,9.96,82.92189042758513,0.44551982623195147
15,15,270,6.32,92.27780891699231,1.4734250843022152
16,16,271,2.11,101.815809509119,1.9083327809362944
17,17,272,-1.53,109.80850382447612,1.6916819529720448
18,18,273,-1.72,116.94063904419582,1.0296795302922772
19,19,274,-0.77,122.6776345752315,0.4880317878648073
20,20,275,1.72,128.6898789653548,0.01875852692738873
21,21,276,4.02,134.86924782298885,-0.1907659854870581
22,22,277,8.43,140.62309787086554,-0.16231204815726122
23,23,278,8.81,147.06111199233,0.3730141811867186
24,24,279,7.28,154.6103922267922,1.0468598174850163
25,25,280,4.41,161.76431984349836,1.4957692236348736
26,26,281,1.15,168.63360258578598,1.5722846241035013
27,27,282,-0.0,175.64798857522183,1.2586141103375723
28,28,283,-0.0,182.09450195249312,0.8414028009720612
29,29,284,0.96,188.4013076095139,0.43323322276927156
30,30,285,2.87,195.13498648256845,0.11768792557871667
31,31,286,5.17,202.1529559458733,0.01422483012867456
32,32,287,4.98,208.74734411324144,0.17867755304796953
33,33,288,4.98,215.49141912373503,0.3334427068643509
34,34,289,3.45,222.2248691734134,0.47887457574589404
35,35,290,2.11,229.1076517820492,0.45430707158380307
36,36,291,1.72,236.11980870389235,0.2610318702584594
37,37,292,2.11,242.8586542804684,0.025319556068171975
38,38,293,2.49,249.60072904674547,-0.16049714374695723
39,39,294,2.87,256.8955305987905,-0.3219601930225731
40,40,295,3.26,264.19420717847674,-0.4235485050479897
41,41,296,3.06,271.075052273292,-0.47805337783518104
42,42,297,3.45,277.2534837392136,-0.5472243320589669
43,43,298,3.26,283.5748521150868,-0.5755414030703143
44,44,299,3.06,290.17563593146093,-0.6219419364071007
45,45,300,3.45,297.7556654654685,-0.7116763421328576
46,46,301,4.41,304.6278231132892,-0.7455771312297902
47,47,302,4.41,311.3673772582014,-0.660665837538637
48,48,303,4.21,318.5279920776856,-0.5729423687105455
49,49,304,4.21,325.26625454671745,-0.5079893207694605
50,50,305,4.21,332.0138503006841,-0.45366123364360716
51,51,306,4.21,338.75211276971595,-0.38870818570252225
52,52,307,4.6,345.4897294008077,-0.3337342606364677
53,53,308,4.6,352.23057522160025,-0.22886472119524984
54,54,309,4.21,359.52350199022067,-0.10962065408955265
55,55,310,4.02,366.68217929588434,-0.05183455388656346
56,56,311,3.64,373.9905434446733,-0.003736022786486064
57,57,312,3.45,380.8639927683743,-0.017678566133354078
58,58,313,4.02,387.4660682606288,-0.044120853720072295
59,59,314,4.21,394.0620396576494,-0.010042566116395311
60,60,315,4.79,400.6699276913656,0.053327252172182774
61,61,316,3.64,406.8400259944608,0.16507218557937425
62,62,317,3.26,413.303039604405,0.15765075203040785
63,63,318,2.87,420.32423825741085,0.10408327095552923
64,64,319,3.26,427.0621464422746,0.008724514955892108
65,65,320,3.64,434.0833450952805,-0.0448429661189864
66,66,321,4.79,441.09714797717214,-0.05784811775353811
67,67,322,4.79,447.55857835746383,0.06510488401311887
68,68,323,5.17,454.01002961488047,0.18870372371997354
69,69,324,4.21,460.8957498594452,0.36436451499872874
70,70,325,3.45,467.0725980957144,0.4255679960905626
71,71,326,2.87,474.7962103776137,0.38666659645228907
72,72,327,2.49,481.8141798409186,0.2832035010022363
73,73,328,2.49,488.54950467402153,0.1479282535024735
74,74,329,2.68,494.8637688325526,0.009840830865768665
75,75,330,4.21,500.75955566827247,-0.09114227540774845
76,76,331,4.02,507.0761116247921,-0.038980525478628784
77,77,332,4.98,513.4013550283065,-0.007422859239789199
78,78,333,5.17,519.7137444034129,0.13519683450482436
79,79,334,4.6,526.8708384794239,0.32335737002343684
80,80,335,3.26,534.0327449747886,0.43103908460159307
81,81,336,2.87,541.0539436277944,0.37747160352671444
82,82,337,2.68,547.9322053708488,0.28305023923939365
83,83,338,2.3,554.668176041892,0.15775411461465422
84,84,339,2.68,561.1314812056083,0.0
