,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,340,0.0,0.0,0.0
1,1,341,0.0,0.0,0.0
2,2,342,0.0,0.0,0.0
3,3,343,0.0,0.0,0.0
4,4,344,0.0,0.0,0.0
5,5,345,0.0,0.0,0.0
6,6,346,0.0,0.0,0.0
7,7,347,0.19,2.9751597413212743,0.1697778360715222
8,8,348,-0.77,11.89892979243874,0.709062616849726
9,9,349,-1.55,22.679950022058637,1.1740387544381603
10,10,350,-1.74,33.59873523940395,1.5066487023971715
11,11,351,-1.74,44.380026748580775,1.7913474803216642
12,12,352,-2.13,54.59110463048425,2.063539489207788
13,13,353,-1.74,58.00297236088522,2.1280266216346755
14,14,354,-1.74,58.00297236088522,2.1280266216346755
15,15,355,-1.36,62.25347572306801,2.240370593759576
16,16,356,-1.55,66.08238237223141,2.36872117612032
17,17,357,-1.55,70.9119436706445,2.514109156608134
18,18,358,-1.94,81.12074265541952,2.826236195579107
19,19,359,-1.36,92.04408566702178,3.0789760833684188
20,20,360,-1.16,102.97114546904196,3.4421070281731865
21,21,361,0.0,113.74617001111548,3.836627138831016
22,22,362,0.19,117.29040393114585,4.038879258983332
23,23,363,-0.19,117.85947810985496,4.071353543064127
24,24,364,-0.97,126.357364933253,4.52623763458393
25,25,365,-2.32,133.8719872805901,4.834865204483023
26,26,366,-2.71,135.29309919429497,4.855863507416676
27,27,367,-4.45,145.0834213670181,4.953801009353489
28,28,368,-5.42,156.29482828827787,4.722165852417284
29,29,369,-5.03,167.0754957428361,4.31570646424965
30,30,370,-3.87,171.33025845455063,4.177886774062122
31,31,371,-4.45,175.4389815938649,4.141912276658261
32,32,372,-3.68,178.8488417066943,4.066057079506058
33,33,373,-3.68,182.81665279214735,4.042073957194954
34,34,374,-4.45,192.7570026072456,3.968279963699613
35,35,375,-6.0,201.2708145453748,3.793047882818804
36,36,376,-6.78,204.9570728026624,3.612770151029269
37,37,377,-6.97,215.00862751344687,2.9944272881242053
38,38,378,-7.36,225.77586569962287,2.2967297589950544
39,39,379,-7.16,233.56026644925316,1.739320601234084
40,40,380,-7.16,234.6964071890998,1.6639268398165807
41,41,381,-7.16,243.7561515595916,1.049083818108988
42,42,382,-6.97,251.2575887529352,0.5356249255759558
43,43,383,-6.78,252.25281743892063,0.4722225392512076
44,44,384,-6.97,260.8869770264181,-0.0567275695720557
45,45,385,-6.97,271.65421521259424,-0.7544250987012031
46,46,386,-6.2,279.5860934279142,-1.2633533621455388
47,47,387,-5.81,280.7210947191966,-1.3187796085206127
48,48,388,-6.0,289.3672456817869,-1.7068176634826706
49,49,389,-5.81,300.2845386755063,-2.2256757262372986
50,50,390,-6.0,308.3581971136948,-2.5862855201528703
51,51,391,-5.42,309.3528560753981,-2.639704148956412
52,52,392,-5.81,318.14591477939604,-2.9692775520806123
53,53,393,-5.81,328.63933216296755,-3.432193974514547
54,54,394,-5.23,338.99240721696003,-3.893102779376946
55,55,395,-4.65,343.09684384157424,-4.029484576275049
56,56,396,-4.07,347.2195388083845,-4.134775652045278
57,57,397,-3.48,357.29366554123345,-4.271049532521552
58,58,398,-3.29,361.41123298950464,-4.286486790600872
59,59,399,-2.9,365.0972199672353,-4.286487162726463
60,60,400,-2.9,375.0301633666661,-4.230492308446042
61,61,401,-2.71,382.549614787817,-4.182012158380587
62,62,402,-2.52,383.8309540962249,-4.168989995396604
63,63,403,-0.97,392.6283264800911,-4.047585137219897
64,64,404,-1.16,400.9932773895776,-3.7204822759043097
65,65,405,-1.16,402.13256519556,-3.675501222785144
66,66,406,-1.16,410.9185430937838,-3.354421214184189
67,67,407,-1.16,421.7035513933785,-2.9593313792442366
68,68,408,-1.16,425.6716609235568,-2.813020899412617
69,69,409,-0.58,429.4994281241559,-2.6647028020094474
70,70,410,-1.16,439.5693226726413,-2.2002420583666265
71,71,411,-1.36,447.6453143382947,-1.899644958753708
72,72,412,-1.16,452.33396358284665,-1.7422656031731414
73,73,413,-1.74,462.1194566817559,-1.384180681402686
74,74,414,-1.94,466.2296177143596,-1.2698290917062387
75,75,415,-1.94,470.2011455902305,-1.1834211570018915
76,76,416,-2.32,480.70403133737767,-0.9346421740191602
77,77,417,-2.13,484.5369260565159,-0.8761778943069061
78,78,418,-1.36,487.6581253702374,-0.8082452510190485
79,79,419,-1.94,497.7254425768691,-0.474143079434107
80,80,420,-2.71,508.5090129831744,-0.2293793315944619
81,81,421,-2.32,512.763504415332,-0.1869216621180491
82,82,422,-2.52,516.5958294101882,-0.1184736248845794
83,83,423,-3.29,526.524784739644,0.0074075320443256
84,84,424,-3.48,537.4529568250601,0.0
