,theta,x,y
340,-0.306,-0.22400000000000003,0.0
341,-0.192,-0.14,-0.002
342,0.958,0.9800000000000001,-0.008
343,4.942,4.2940000000000005,0.052000000000000005
344,6.016,12.072,0.708
345,4.71,22.89,1.8379999999999999
346,2.1079999999999997,33.714000000000006,2.772
347,-0.34600000000000003,43.342,3.132
348,-1.954,51.470000000000006,3.0959999999999996
349,-1.9159999999999997,57.732000000000006,2.886
350,0.11799999999999997,62.416,2.724
351,3.372,66.424,2.7159999999999997
352,5.784000000000001,70.818,2.952
353,5.709999999999999,77.274,3.6439999999999997
354,3.142,85.388,4.4879999999999995
355,-0.30600000000000016,93.894,5.0040000000000004
356,-2.988,101.91999999999999,4.994
357,-3.7920000000000003,109.18199999999999,4.62
358,-3.2959999999999994,115.93200000000002,4.17
359,-1.302,122.26199999999999,3.808
360,1.2640000000000002,128.122,3.6839999999999997
361,3.8299999999999996,133.484,3.7980000000000005
362,5.092,139.444,4.202
363,4.252000000000001,146.26,4.8100000000000005
364,1.9899999999999998,153.836,5.406000000000001
365,-0.5760000000000001,161.266,5.6899999999999995
366,-2.07,168.594,5.612
367,-2.5300000000000002,175.326,5.368
368,-1.686,181.942,5.086
369,0.07599999999999998,188.22599999999997,4.91
370,2.222,194.11999999999998,4.902
371,2.9859999999999998,200.73399999999998,5.138
372,2.298,207.73399999999998,5.524
373,0.842,214.798,5.824
374,-0.4979999999999999,221.842,5.93
375,-1.2660000000000002,228.748,5.862
376,-1.2259999999999998,235.33599999999996,5.712
377,-0.49800000000000005,242.04199999999997,5.568
378,0.422,248.892,5.51
379,1.2659999999999998,255.404,5.564
380,1.6860000000000004,262.058,5.704
381,1.686,268.62399999999997,5.898
382,1.15,275.192,6.09
383,0.6519999999999999,282.23400000000004,6.228
384,0.418,289.142,6.31
385,0.806,296.104,6.366
386,1.1119999999999999,302.952,6.459999999999999
387,1.57,309.96999999999997,6.595999999999999
388,1.9920000000000002,316.79200000000003,6.782000000000001
389,2.108,323.89399999999995,7.0280000000000005
390,1.952,330.46000000000004,7.269999999999999
391,1.454,337.052,7.496
392,1.226,343.732,7.662000000000001
393,1.264,350.384,7.804
394,1.34,356.954,7.952
395,1.3780000000000001,363.662,8.111999999999998
396,1.5319999999999998,370.512,8.276
397,1.416,377.446,8.458
398,1.572,384.352,8.628
399,1.456,391.11199999999997,8.812000000000001
400,1.53,397.682,8.978
401,1.684,404.304,9.152
402,1.608,411.15200000000004,9.35
403,1.3399999999999999,417.746,9.538
404,1.302,424.57000000000005,9.698
405,1.072,431.13800000000003,9.846
406,1.262,437.67800000000005,9.968
407,1.4540000000000002,444.384,10.108
408,1.8399999999999999,451.2339999999999,10.28
409,1.874,457.77,10.49
410,1.8780000000000001,464.506,10.716
411,1.686,471.102,10.932
412,1.53,477.78000000000003,11.134
413,1.686,484.40600000000006,11.308
414,1.684,490.9719999999999,11.5
415,1.8400000000000003,497.37,11.690000000000001
416,1.798,503.908,11.894
417,1.61,510.724,12.104000000000003
418,1.494,517.378,12.288
419,1.456,524.478,12.471999999999998
420,1.456,531.1580000000001,12.642
421,1.686,537.7839999999999,12.812000000000001
422,1.5700000000000003,544.6020000000001,13.006
423,1.6099999999999999,551.366,13.186000000000002
424,1.6479999999999997,557.74,13.366
