,Unnamed: 0,Unnamed: 0.1,theta,x,y
0,0,0,0.0,0.0,0.0
1,1,1,1.94,3.4096097908433585,-0.0515856005597482
2,2,2,4.07,12.343126246092366,0.1132893332392124
3,3,3,3.48,21.842327162070102,0.6496492477440432
4,4,4,3.29,32.751064175724665,1.144681334505146
5,5,5,2.9,44.6599893133835,1.6445833905498617
6,6,6,2.9,55.72734652131505,2.0472053373504187
7,7,7,2.13,66.50428308192654,2.424217762285001
8,8,8,0.97,77.00898137754929,2.655331842212142
9,9,9,1.74,86.94041679548764,2.675093909920375
10,10,10,1.16,96.44371674773816,2.8213471750309216
11,11,11,1.55,106.66572409041753,2.876717620296751
12,12,12,1.74,117.02877435472658,2.999962171509991
13,13,13,2.13,126.6720582866598,3.1440975527265898
14,14,14,1.74,136.0362819237536,3.3524618358808227
15,15,15,1.74,146.2498031849513,3.507972115483875
16,16,16,1.36,156.1832052093626,3.6577193071832026
17,17,17,0.77,166.26568240462225,3.7452042034178494
18,18,18,1.16,175.91654475351112,3.7292066161474873
19,19,19,0.19,185.9884179833952,3.776847367036639
20,20,20,0.0,195.77790281517784,3.668742194647724
21,21,21,0.77,205.14683059822835,3.526995251174164
22,22,22,1.16,215.0776609064827,3.506761896115904
23,23,23,0.58,224.8695661770013,3.558638414792954
24,24,24,0.77,235.2298934477324,3.5019035635569837
25,25,25,0.97,245.59082582814756,3.4851641350875058
26,26,26,1.36,255.5222612460859,3.504926202795738
27,27,27,0.77,265.3146203488675,3.5867992885476543
28,28,28,0.58,275.11561681055167,3.578531395653972
29,29,29,0.58,284.755875194065,3.522689663038114
30,30,30,0.97,294.4062837106909,3.476695508692884
31,31,31,0.97,304.34771798432087,3.4963062989801195
32,32,32,1.55,314.5591213616247,3.5118325989004537
33,33,33,1.16,324.4920695537729,3.631583223524914
34,34,34,1.74,334.2839748242916,3.683459742201963
35,35,35,1.55,344.36751096149817,3.84093662827797
36,36,36,1.36,354.7205623701156,3.9643324569122056
37,37,37,1.16,364.8028882879542,4.041818497455228
38,38,38,1.74,374.8749127952593,4.099458104036002
39,39,39,1.55,384.94829879935327,4.247087411841383
40,40,40,1.36,394.7412630118188,4.36895592035979
41,41,41,1.36,404.6736060942832,4.448711122217758
42,42,42,1.74,414.89621854664654,4.544076990250081
43,43,43,0.97,424.5395024785798,4.688212371466676
44,44,44,2.13,434.1908186597317,4.702211351271185
45,45,45,0.77,443.9852956464072,4.924068416705821
46,46,46,0.77,453.9161259546616,4.90383506164756
47,47,47,1.36,464.137074355394,4.889213517072032
48,48,48,0.58,474.0694174378583,4.96896871893
49,49,49,0.58,483.4298591394272,4.927361609793662
50,50,50,0.39,492.9402836763703,4.883485339342382
51,51,51,0.39,502.3101191239468,4.801731530018558
52,52,52,1.16,511.9599225308888,4.715741952906838
53,53,53,0.58,522.0319470381937,4.773381559487612
54,54,54,0.97,531.4022363180333,4.721624317238655
55,55,55,0.77,540.9135685195025,4.73774118093711
56,56,56,0.58,550.414448033017,4.724012754981695
57,57,57,0.77,560.2148393850173,4.6757494393215175
58,58,58,0.39,570.425788930058,4.661279172166985
59,59,59,0.39,580.6456783888434,4.576665637750095
60,60,60,0.58,590.4354657754682,4.4885581767444265
61,61,61,0.97,600.0858742920941,4.4425640223991945
62,62,62,0.58,609.7373417506669,4.466561857895325
63,63,63,0.19,619.6677182266583,4.416331935762196
64,64,64,0.39,628.8971158622891,4.306699443257454
65,65,65,0.19,637.8370005151259,4.231450563036473
66,66,66,-0.39,647.9163008845445,4.108959489747042
67,67,67,-0.58,657.4143061270602,3.905252805650792
68,68,68,-0.39,667.2116719306406,3.6570123761581614
69,69,69,0.39,676.8595087311095,3.4410376750553446
70,70,70,-0.58,686.9294153545205,3.358693301953401
71,71,71,-0.58,696.8667651377837,3.1083349885668223
72,72,72,-0.58,706.7941160653551,2.85812795260124
73,73,73,-0.39,716.8614509726092,2.605803032741708
74,74,74,-0.58,726.939238567818,2.3833234025360497
75,75,75,0.39,736.7266055157066,2.135234250464416
76,76,76,-0.19,746.5165441797523,2.0571256451503697
77,77,77,-0.19,756.1648348124843,1.8711475111224232
78,78,78,-0.77,766.243227517377,1.6886633036832528
79,79,79,-0.58,776.3199561706389,1.3961916836362356
80,80,80,-1.36,786.2473070982102,1.1459846476706517
81,81,81,-0.39,796.0327074396259,0.7679103716079236
82,82,82,-0.58,805.8206794971987,0.5598166423027795
83,83,83,-0.97,814.6183110090377,0.3367028106014054
84,84,84,-0.39,824.974402511981,0.0
