,theta,x,y
340,0.0,0.0,0.0
341,-2.6719999999999997,3.2079999999999997,0.0
342,-6.542,11.202000000000002,-0.37
343,-6.040000000000001,20.926,-1.482
344,-4.182,30.736,-2.5140000000000002
345,-3.832,40.384,-3.2239999999999993
346,-3.2920000000000003,50.239999999999995,-3.882
347,-3.058,60.266,-4.458
348,-3.1759999999999997,69.99,-4.978
349,-2.904,79.82,-5.526
350,-3.06,89.67999999999999,-6.022
351,-3.214000000000001,99.712,-6.558
352,-3.0220000000000002,109.6,-7.109999999999999
353,-2.942,119.52000000000001,-7.636
354,-2.75,129.582,-8.154
355,-2.554,139.416,-8.628
356,-2.284,149.224,-9.064
357,-2.518,158.924,-9.453999999999999
358,-2.092,168.592,-9.874
359,-1.858,178.43,-10.233999999999998
360,-1.7420000000000002,188.38600000000002,-10.558
361,-2.206,198.2,-10.858
362,-2.012,208.156,-11.24
363,-1.6640000000000001,218.05,-11.588000000000001
364,-1.782,228.17799999999997,-11.878
365,-1.8200000000000003,238.276,-12.198
366,-1.8180000000000003,248.42800000000003,-12.518
367,-1.7420000000000002,258.582,-12.84
368,-1.8200000000000003,268.736,-13.15
369,-1.588,278.89,-13.474
370,-1.626,289.072,-13.758
371,-1.8960000000000001,299.25600000000003,-14.045999999999998
372,-1.472,309.44,-14.379999999999999
373,-1.6639999999999997,319.56600000000003,-14.638000000000002
374,-1.6640000000000001,329.778,-14.937999999999999
375,-1.51,339.934,-15.232
376,-1.5859999999999999,349.75,-15.491999999999999
377,-1.8200000000000003,359.67600000000004,-15.762
378,-1.702,369.63,-16.084
379,-1.782,379.504,-16.375999999999998
380,-1.6260000000000001,389.43199999999996,-16.688000000000002
381,-1.8579999999999999,399.47,-16.97
382,-1.8559999999999999,409.45400000000006,-17.292
383,-1.7419999999999998,419.296,-17.612000000000002
384,-1.588,429.168,-17.913999999999998
385,-1.8980000000000001,439.06800000000004,-18.188
386,-1.7799999999999998,448.73999999999995,-18.508000000000003
387,-1.858,458.552,-18.811999999999998
388,-1.6640000000000001,468.22400000000005,-19.125999999999998
389,-1.7400000000000002,477.89399999999995,-19.406
390,-1.704,487.79200000000003,-19.709999999999997
391,-1.7420000000000002,497.55199999999996,-20.002000000000002
392,-1.432,507.48199999999997,-20.302
393,-1.704,517.326,-20.55
394,-1.432,527.1099999999999,-20.836
395,-1.8199999999999998,536.87,-21.077999999999996
396,-2.0900000000000003,546.654,-21.387999999999998
397,-1.9780000000000002,556.6039999999999,-21.752000000000002
398,-2.4779999999999998,566.0759999999999,-22.084
399,-2.3240000000000003,575.6600000000001,-22.5
400,-2.6719999999999997,585.6099999999999,-22.908
401,-2.516,595.698,-23.380000000000003
402,-2.518,605.678,-23.814
403,-2.5919999999999996,615.7139999999999,-24.258
404,-2.6719999999999997,625.7500000000001,-24.718
405,-2.402,635.9860000000001,-25.192
406,-2.556,646.1900000000002,-25.618000000000002
407,-2.6319999999999997,656.2819999999999,-26.07
408,-2.71,666.372,-26.536
409,-2.438,676.3779999999999,-27.006
410,-2.476,686.6679999999999,-27.447999999999997
411,-2.284,696.9039999999999,-27.887999999999998
412,-2.556,707.0260000000001,-28.292
413,-2.48,716.95,-28.738
414,-2.518,727.014,-29.168
415,-1.858,737.246,-29.616000000000003
416,-2.478,747.116,-29.932
417,-2.44,757.0120000000001,-30.368000000000002
418,-2.13,767.272,-30.808000000000003
419,-2.246,777.454,-31.183999999999997
420,-2.0140000000000002,787.6600000000001,-31.582
421,-2.284,797.7819999999999,-31.939999999999998
422,-2.09,807.8499999999999,-32.336
423,-2.052,817.914,-32.704
424,-2.09,827.644,-33.053999999999995
